dataset,method,run_id,bin,bin_probability,bin_frequency,bin_weight
core50,ewc,2,7,0.5004336021085949,0.09985734664764621,0.0701
core50,ewc,2,8,0.5667441126217942,0.09531502423263329,0.0619
core50,ewc,2,9,0.6323378072820037,0.08534322820037106,0.0539
core50,ewc,2,10,0.6994724880258945,0.11307420494699646,0.0566
core50,ewc,2,11,0.7665022647742069,0.13825757575757575,0.0528
core50,ewc,2,12,0.832768162937029,0.14184397163120568,0.0564
core50,ewc,2,13,0.9000937525880631,0.16784452296819788,0.0566
core50,ewc,2,14,0.9617069595291636,0.17210682492581603,0.0337
core50,ewc,1,0,0.06333253781000774,0.0,0.0003
core50,ewc,1,1,0.11254749210199452,0.03225806451612903,0.0434
core50,ewc,1,2,0.16805571960888321,0.06744604316546762,0.1112
core50,ewc,1,3,0.23332715333255014,0.0910609857978279,0.1197
core50,ewc,1,4,0.2998727454104303,0.13189897100093545,0.1069
core50,ewc,1,5,0.36550557316025367,0.11678004535147392,0.0882
core50,ewc,1,6,0.43196325047649303,0.12833545108005082,0.0787
core50,ewc,1,7,0.4986084443285949,0.17142857142857143,0.0665
core50,ewc,1,8,0.5656491056153091,0.1638591117917305,0.0653
core50,ewc,1,9,0.6332745006339411,0.17073170731707318,0.0533
core50,ewc,1,10,0.6992992551523297,0.15949820788530467,0.0558
core50,ewc,1,11,0.7673374058756216,0.12477396021699819,0.0553
core50,ewc,1,12,0.8327426354861954,0.13592233009708737,0.0515
core50,ewc,1,13,0.8997974884815705,0.1641025641025641,0.0585
core50,ewc,1,14,0.9616226666824408,0.2092511013215859,0.0454
core50,ewc,0,0,0.062496195236841835,0.0,0.0012
core50,ewc,0,1,0.1091140864188211,0.06359649122807018,0.0456
core50,ewc,0,2,0.16816030561199136,0.06454630495790459,0.1069
core50,ewc,0,3,0.23267014237596514,0.0659432387312187,0.1198
core50,ewc,0,4,0.2998888043389804,0.06521739130434782,0.1104
core50,ewc,0,5,0.3663843342677299,0.06735751295336788,0.0965
core50,ewc,0,6,0.4321133451071252,0.0964332892998679,0.0757
core50,ewc,0,7,0.49922955402692626,0.09663250366032211,0.0683
core50,ewc,0,8,0.565520849609375,0.1136,0.0625
core50,ewc,0,9,0.6327164956681129,0.11247803163444639,0.0569
core50,ewc,0,10,0.7003999750664893,0.11914893617021277,0.047
core50,ewc,0,11,0.7662390255233616,0.1029126213592233,0.0515
core50,ewc,0,12,0.8313629823122808,0.11222444889779559,0.0499
core50,ewc,0,13,0.8994821228814169,0.13627992633517497,0.0543
core50,ewc,0,14,0.9657943012558411,0.11401869158878504,0.0535
core50,ewc,3,0,0.06320902017446664,0.0,0.0013
